,StudentID,Status,Class_Of,Gender,Birthdate,Course_Title,Class_Name,TeacherID,S1_Grade,S1_Avg,S1_GPA,S2_Grade,S2_Avg,S2_GPA,Year
20,10173,Withdrawn,2018,Female,3/7/2000,U. S. Government,US GVT,90,C+,75.0,2.0,,,,2015-2016
21,10172,Withdrawn,2018,Male,3/7/2000,Bible II,BIB ll,90,C,75.0,2.0,,,,2015-2016
22,10172,Withdrawn,2018,Male,3/7/2000,World History,WR HIS,90,D+,60.0,1.0,C+,78.0,2.0,2015-2016
23,10165,Graduate,2018,Male,5/8/2000,Bible II,BIB ll,90,A,96.0,4.0,,,,2015-2016
24,10165,Graduate,2018,Male,5/8/2000,World History,WR HIS,90,B-,85.0,3.0,B,83.0,3.0,2015-2016
25,10182,Graduate,2019,Male,2/14/2001,Bible I,BIB l,90,,,,A,94.0,4.0,2015-2016
26,10143,Graduate,2017,Male,11/12/1998,Bible III,BIB lll,90,A,96.0,4.0,,,,2015-2016
27,10143,Graduate,2017,Male,11/12/1998,U. S. Government,US GVT,90,A-,96.0,4.0,,,,2015-2016
28,10142,Graduate,2016,Male,2/18/1997,Bible IV,BIB lV,90,A-,96.0,4.0,A-,91.0,4.0,2015-2016
29,10142,Graduate,2016,Male,2/18/1997,U. S. Government,US GVT,90,A-,96.0,4.0,,,,2015-2016
30,10183,Graduate,2019,Male,7/15/2001,Bible I,BIB l,90,,,,D,60.0,1.0,2015-2016
31,10180,Withdrawn,2017,Male,7/8/1999,Bible III,BIB lll,90,,,,D,66.0,1.0,2015-2016
32,10199,Withdrawn,2018,Female,2/18/2000,Bible II,BIB ll,90,B+,85.0,3.0,,,,2015-2016
33,10122,Graduate,2018,Male,6/4/1999,Bible II,BIB ll,90,B,85.0,3.0,,,,2015-2016
34,10122,Graduate,2018,Male,6/4/1999,World History,WR HIS,90,D+,60.0,1.0,C-,70.0,2.0,2015-2016
35,10192,Withdrawn,2019,Female,3/25/2001,Bible I,BIB l,90,,,,A,98.5,4.0,2015-2016
36,10154,Graduate,2017,Male,11/13/1998,Bible III,BIB lll,90,C,75.0,2.0,C+,78.0,2.0,2015-2016
37,10127,Graduate,2019,Female,7/26/2001,Bible I,BIB l,90,,,,A,98.5,4.0,2015-2016
38,10125,Graduate,2018,Female,10/19/1999,Bible II,BIB ll,90,A-,96.0,4.0,,,,2015-2016
39,10125,Graduate,2018,Female,10/19/1999,World History,WR HIS,90,C,75.0,2.0,B-,81.0,3.0,2015-2016
40,10119,Graduate,2016,Female,4/29/1998,Bible IV,BIB lV,90,A,96.0,4.0,A+,100.0,4.0,2015-2016
41,10119,Graduate,2016,Female,4/29/1998,U. S. Government,US GVT,90,A,96.0,4.0,,,,2015-2016
42,10120,Graduate,2019,Female,11/20/2000,Bible I,BIB l,90,,,,A,98.5,4.0,2015-2016
43,10147,Graduate,2016,Female,11/17/1997,Bible IV,BIB lV,90,A,96.0,4.0,A,97.0,4.0,2015-2016
44,10147,Graduate,2016,Female,11/17/1997,U. S. Government,US GVT,90,A,96.0,4.0,,,,2015-2016
45,10131,Graduate,2017,Male,12/10/1998,Bible III,BIB lll,90,A-,96.0,4.0,A-,91.0,4.0,2015-2016
46,10191,Graduate,2018,Male,4/15/2000,Bible II,BIB ll,90,B+,85.0,3.0,,,,2015-2016
47,10191,Graduate,2018,Male,4/15/2000,World History,WR HIS,90,C,75.0,2.0,B,84.0,3.0,2015-2016
48,10404,Withdrawn,2019,Female,12/7/1999,Bible I,BIB l,90,,,,B-,82.0,3.0,2015-2016
49,10151,Graduate,2017,Male,5/8/1999,Bible III,BIB lll,90,B-,85.0,3.0,B-,82.0,3.0,2015-2016
50,10132,Graduate,2016,Female,8/30/1998,Bible IV,BIB lV,90,A,96.0,4.0,A,96.0,4.0,2015-2016
51,10132,Graduate,2016,Female,8/30/1998,U. S. Government,US GVT,90,A-,96.0,4.0,,,,2015-2016
52,10148,Graduate,2016,Female,4/26/1998,Bible IV,BIB lV,90,A,96.0,4.0,A,93.0,4.0,2015-2016
53,10148,Graduate,2016,Female,4/26/1998,U. S. Government,US GVT,90,A-,96.0,4.0,,,,2015-2016
54,10166,Withdrawn,2018,Female,9/29/1999,Bible II,BIB ll,90,A,96.0,4.0,,,,2015-2016
55,10166,Withdrawn,2018,Female,9/29/1999,World History,WR HIS,90,A,96.0,4.0,A,96.0,4.0,2015-2016
56,10139,Graduate,2016,Female,11/18/1996,Bible IV,BIB lV,90,B-,85.0,3.0,B,83.0,3.0,2015-2016
57,10139,Graduate,2016,Female,11/18/1996,U. S. Government,US GVT,90,D+,60.0,1.0,,,,2015-2016
58,10134,Graduate,2017,Male,5/18/1999,Bible III,BIB lll,90,,,,B+,87.0,3.0,2015-2016
59,10157,Graduate,2018,Female,12/14/1998,World History,WR HIS,90,C,75.0,2.0,B+,89.0,3.0,2015-2016
60,10113,Graduate,2016,Female,5/28/1998,Bible IV,BIB lV,90,A-,96.0,4.0,A,96.0,4.0,2015-2016
61,10113,Graduate,2016,Female,5/28/1998,U. S. Government,US GVT,90,B-,85.0,3.0,,,,2015-2016
62,10164,Graduate,2019,Female,3/5/2001,Bible I,BIB l,90,,,,A,99.5,4.0,2015-2016
63,10163,Withdrawn,2018,Male,5/19/1999,Bible II,BIB ll,90,D,60.0,1.0,,,,2015-2016
64,10163,Withdrawn,2018,Male,5/19/1999,World History,WR HIS,90,D+,60.0,1.0,D,63.0,1.0,2015-2016
65,10138,Graduate,2016,Female,9/17/1997,Bible IV,BIB lV,90,B-,85.0,3.0,D,66.0,1.0,2015-2016
66,10138,Graduate,2016,Female,9/17/1997,U. S. Government,US GVT,90,C+,75.0,2.0,,,,2015-2016
67,10171,Graduate,2016,Male,11/5/1996,Bible IV,BIB lV,90,B,85.0,3.0,A-,90.0,4.0,2015-2016
68,10171,Graduate,2016,Male,11/5/1996,U. S. Government,US GVT,90,B-,85.0,3.0,,,,2015-2016
69,10103,Graduate,2016,Male,5/26/1998,Bible IV,BIB lV,90,,,,B+,88.0,3.0,2015-2016
70,10103,Graduate,2016,Male,5/26/1998,U. S. Government,US GVT,90,C,75.0,2.0,,,,2015-2016
71,10184,Graduate,2019,Female,10/20/2000,Bible I,BIB l,90,,,,A,98.5,4.0,2015-2016
72,10150,Graduate,2016,Male,8/14/1997,Bible IV,BIB lV,90,A-,96.0,4.0,B,85.0,3.0,2015-2016
73,10150,Graduate,2016,Male,8/14/1997,U. S. Government,US GVT,90,C+,75.0,2.0,,,,2015-2016
74,10178,Graduate,2018,Male,3/11/2000,Bible II,BIB ll,90,C,75.0,2.0,,,,2015-2016
75,10178,Graduate,2018,Male,3/11/2000,World History,WR HIS,90,F,25.0,0.0,D-,60.0,1.0,2015-2016
76,10167,Graduate,2016,Female,11/28/1997,Bible IV,BIB lV,90,C-,75.0,2.0,C+,79.0,2.0,2015-2016
77,10117,Graduate,2016,Female,2/4/1998,Bible IV,BIB lV,90,A,96.0,4.0,A+,100.0,4.0,2015-2016
78,10117,Graduate,2016,Female,2/4/1998,U. S. Government,US GVT,90,A,96.0,4.0,,,,2015-2016
79,10189,Graduate,2017,Male,4/11/1999,Bible III,BIB lll,90,,,,D+,69.0,1.0,2015-2016
80,10128,Graduate,2016,Female,9/3/1997,Bible IV,BIB lV,90,A,96.0,4.0,A,98.0,4.0,2015-2016
81,10128,Graduate,2016,Female,9/3/1997,U. S. Government,US GVT,90,A,96.0,4.0,,,,2015-2016
82,10135,Graduate,2018,Female,6/20/2000,Bible II,BIB ll,90,B,85.0,3.0,,,,2015-2016
83,10135,Graduate,2018,Female,6/20/2000,World History,WR HIS,90,D+,60.0,1.0,C+,78.0,2.0,2015-2016
84,10176,Graduate,2018,Female,3/5/2000,Bible II,BIB ll,90,B-,85.0,3.0,,,,2015-2016
85,10176,Graduate,2018,Female,3/5/2000,World History,WR HIS,90,C,75.0,2.0,C,76.0,2.0,2015-2016
86,10186,Graduate,2019,Female,8/4/2000,Bible I,BIB l,90,,,,A,97.0,4.0,2015-2016
87,10140,Graduate,2016,Male,11/6/1997,Bible IV,BIB lV,90,B+,85.0,3.0,A-,90.0,4.0,2015-2016
88,10140,Graduate,2016,Male,11/6/1997,U. S. Government,US GVT,90,B+,85.0,3.0,,,,2015-2016
89,10196,Graduate,2018,Female,11/21/1998,World History,WR HIS,90,B-,85.0,3.0,A-,90.0,4.0,2015-2016
90,10201,Withdrawn,2018,Female,10/8/2000,Bible II,BIB ll,90,B-,85.0,3.0,,,,2015-2016
91,10201,Withdrawn,2018,Female,10/8/2000,World History,WR HIS,90,D+,60.0,1.0,C+,79.0,2.0,2015-2016
92,10105,Graduate,2016,Female,3/20/1997,Bible IV,BIB lV,90,A-,96.0,4.0,A,97.0,4.0,2015-2016
93,10105,Graduate,2016,Female,3/20/1997,U. S. Government,US GVT,90,B-,85.0,3.0,,,,2015-2016
94,10160,Graduate,2018,Male,4/13/2000,Bible II,BIB ll,90,A,96.0,4.0,,,,2015-2016
95,10160,Graduate,2018,Male,4/13/2000,World History,WR HIS,90,A,96.0,4.0,A,95.0,4.0,2015-2016
96,10174,Graduate,2018,Female,12/6/1999,Bible II,BIB ll,90,B,85.0,3.0,,,,2015-2016
97,10174,Graduate,2018,Female,12/6/1999,World History,WR HIS,90,C,75.0,2.0,C+,77.0,2.0,2015-2016
98,10185,Graduate,2019,Female,11/9/2000,Bible I,BIB l,90,,,,A,98.0,4.0,2015-2016
99,10187,Withdrawn,2017,Male,11/21/1998,Bible III,BIB lll,90,C+,75.0,2.0,B,86.0,3.0,2015-2016
100,10107,Graduate,2016,Female,9/10/1998,Bible III,BIB lll,90,,,,C,75.0,2.0,2015-2016
101,10107,Graduate,2016,Female,9/10/1998,Bible IV,BIB lV,90,C-,75.0,2.0,C+,78.0,2.0,2015-2016
102,10193,Graduate,2019,Male,9/8/2000,Bible I,BIB l,90,,,,A,95.0,4.0,2015-2016
103,10130,Graduate,2017,Male,8/2/1999,Bible III,BIB lll,90,B+,85.0,3.0,A,95.0,4.0,2015-2016
104,10111,Graduate,2016,Male,2/8/1997,Bible IV,BIB lV,90,,,,B,83.0,3.0,2015-2016
105,10111,Graduate,2016,Male,2/8/1997,U. S. Government,US GVT,90,B,85.0,3.0,,,,2015-2016
106,10112,Graduate,2018,Female,2/3/1999,Bible II,BIB ll,90,A,96.0,4.0,,,,2015-2016
107,10112,Graduate,2018,Female,2/3/1999,World History,WR HIS,90,A-,96.0,4.0,A,95.0,4.0,2015-2016
108,10129,Graduate,2016,Female,6/13/1998,Bible IV,BIB lV,90,B+,85.0,3.0,C,75.0,2.0,2015-2016
109,10129,Graduate,2016,Female,6/13/1998,U. S. Government,US GVT,90,B,85.0,3.0,,,,2015-2016
110,10118,Graduate,2016,Male,10/2/1997,Bible IV,BIB lV,90,A,96.0,4.0,A,97.0,4.0,2015-2016
111,10118,Graduate,2016,Male,10/2/1997,U. S. Government,US GVT,90,A-,96.0,4.0,,,,2015-2016
112,10136,Graduate,2016,Female,5/17/1998,Bible IV,BIB lV,90,C+,75.0,2.0,C-,70.0,2.0,2015-2016
113,10136,Graduate,2016,Female,5/17/1998,U. S. Government,US GVT,90,C,75.0,2.0,,,,2015-2016
114,10152,Graduate,2017,Male,7/29/1999,Bible III,BIB lll,90,A-,91.0,3.7,,,,2015-2016
115,10102,Graduate,2018,Male,8/13/2000,Bible II,BIB ll,90,B,85.0,3.0,,,,2015-2016
116,10102,Graduate,2018,Male,8/13/2000,World History,WR HIS,90,C,75.0,2.0,C+,79.0,2.0,2015-2016
117,10153,Graduate,2016,Female,12/26/1997,Bible IV,BIB lV,90,B,85.0,3.0,A,93.0,4.0,2015-2016
118,10153,Graduate,2016,Female,12/26/1997,U. S. Government,US GVT,90,C,75.0,2.0,,,,2015-2016
119,10108,Graduate,2016,Female,8/13/1997,Bible IV,BIB lV,90,A,96.0,4.0,A+,100.0,4.0,2015-2016
120,10108,Graduate,2016,Female,8/13/1997,U. S. Government,US GVT,90,A,96.0,4.0,,,,2015-2016
121,10177,Graduate,2016,Male,5/26/1998,Bible III,BIB lll,90,C+,75.0,2.0,B+,89.0,3.0,2015-2016
122,10177,Graduate,2016,Male,5/26/1998,Bible IV,BIB lV,90,B-,85.0,3.0,A-,90.0,4.0,2015-2016
123,10177,Graduate,2016,Male,5/26/1998,U. S. Government,US GVT,90,B-,85.0,3.0,,,,2015-2016
124,10156,Graduate,2017,Male,12/9/1998,Bible III,BIB lll,90,,,,B+,87.0,3.0,2015-2016
125,10133,Graduate,2019,Male,5/1/2000,Bible I,BIB l,90,,,,A,93.5,4.0,2015-2016
126,10162,Graduate,2018,Female,7/9/2000,Bible II,BIB ll,90,A,96.0,4.0,,,,2015-2016
127,10162,Graduate,2018,Female,7/9/2000,World History,WR HIS,90,A,96.0,4.0,A,99.0,4.0,2015-2016
128,10158,Graduate,2018,Male,4/19/2000,Bible II,BIB ll,90,A,96.0,4.0,,,,2015-2016
129,10158,Graduate,2018,Male,4/19/2000,World History,WR HIS,90,A,96.0,4.0,A,99.0,4.0,2015-2016
130,10161,Withdrawn,2018,Male,11/30/1999,Bible II,BIB ll,90,C,75.0,2.0,,,,2015-2016
131,10161,Withdrawn,2018,Male,11/30/1999,World History,WR HIS,90,D+,60.0,1.0,D,65.0,1.0,2015-2016
132,10169,Graduate,2018,Male,3/11/2000,Bible II,BIB ll,90,B-,85.0,3.0,,,,2015-2016
133,10169,Graduate,2018,Male,3/11/2000,World History,WR HIS,90,C,75.0,2.0,C-,72.0,2.0,2015-2016
134,10110,Graduate,2018,Female,5/30/2000,Bible II,BIB ll,90,C+,75.0,2.0,,,,2015-2016
135,10109,Graduate,2016,Female,12/15/1997,Bible IV,BIB lV,90,A,96.0,4.0,A+,100.0,4.0,2015-2016
136,10109,Graduate,2016,Female,12/15/1997,U. S. Government,US GVT,90,A-,96.0,4.0,,,,2015-2016
137,10190,Withdrawn,2018,Female,12/30/1999,Bible II,BIB ll,90,D,60.0,1.0,,,,2015-2016
138,10190,Withdrawn,2018,Female,12/30/1999,World History,WR HIS,90,F,25.0,0.0,F,50.0,0.0,2015-2016
139,10121,Graduate,2016,Male,5/16/1997,Bible IV,BIB lV,90,A,96.0,4.0,A,94.0,4.0,2015-2016
140,10121,Graduate,2016,Male,5/16/1997,U. S. Government,US GVT,90,A,96.0,4.0,,,,2015-2016
141,10200,Graduate,2019,Female,12/31/2000,Bible I,BIB l,90,,,,D,60.0,1.0,2015-2016
142,10137,Withdrawn,2018,Male,10/10/1999,Bible II,BIB ll,90,A,96.0,4.0,,,,2015-2016
143,10137,Withdrawn,2018,Male,10/10/1999,World History,WR HIS,90,A-,96.0,4.0,B,86.0,3.0,2015-2016
144,10188,Graduate,2019,Female,7/16/2000,Bible I,BIB l,90,,,,C+,77.0,2.0,2015-2016
145,10116,Withdrawn,2019,Male,12/5/2000,Bible I,BIB l,90,,,,B,83.0,3.0,2015-2016
146,10115,Graduate,2016,Female,5/1/1997,Bible IV,BIB lV,90,A,96.0,4.0,A,98.0,4.0,2015-2016
147,10106,Graduate,2019,Male,7/11/2001,Bible I,BIB l,90,,,,D,60.0,1.0,2015-2016
148,10159,Graduate,2018,Male,12/16/1999,Bible II,BIB ll,90,B+,85.0,3.0,,,,2015-2016
149,10159,Graduate,2018,Male,12/16/1999,World History,WR HIS,90,C+,75.0,2.0,B+,88.0,3.0,2015-2016
150,10175,Graduate,2016,Male,8/7/1997,Bible IV,BIB lV,90,C+,75.0,2.0,B,86.0,3.0,2015-2016
151,10175,Graduate,2016,Male,8/7/1997,U. S. Government,US GVT,90,B,85.0,3.0,,,,2015-2016
152,10181,Graduate,2019,Male,4/4/2001,Computer Literacy,CMP LIT,99,A,96.0,4.0,A,96.0,4.0,2015-2016
153,10114,Withdrawn,2019,Female,1/29/2001,Computer Literacy,CMP LIT,99,A,96.0,4.0,B,89.0,3.0,2015-2016
154,10149,Graduate,2018,Female,6/26/2000,Computer Literacy,CMP LIT,99,B,85.0,3.0,A,91.0,4.0,2015-2016
155,10146,Graduate,2019,Male,12/19/1999,Computer Literacy,CMP LIT,99,B+,85.0,3.0,D,69.0,1.0,2015-2016
156,10168,Graduate,2018,Male,6/7/2000,Computer Literacy,CMP LIT,99,,,,A,91.0,4.0,2015-2016
157,10182,Graduate,2019,Male,2/14/2001,Computer Literacy,CMP LIT,99,A,96.0,4.0,A,93.0,4.0,2015-2016
158,10183,Graduate,2019,Male,7/15/2001,Computer Literacy,CMP LIT,99,B-,85.0,3.0,C,71.0,2.0,2015-2016
159,10192,Withdrawn,2019,Female,3/25/2001,Computer Literacy,CMP LIT,99,B,85.0,3.0,A,94.0,4.0,2015-2016
160,10127,Graduate,2019,Female,7/26/2001,Computer Literacy,CMP LIT,99,A,96.0,4.0,A,100.0,4.0,2015-2016
161,10120,Graduate,2019,Female,11/20/2000,Computer Literacy,CMP LIT,99,A,96.0,4.0,A,97.0,4.0,2015-2016
162,10164,Graduate,2019,Female,3/5/2001,Computer Literacy,CMP LIT,99,A,96.0,4.0,A,96.0,4.0,2015-2016
163,10184,Graduate,2019,Female,10/20/2000,Computer Literacy,CMP LIT,99,A-,96.0,4.0,A,96.0,4.0,2015-2016
164,10178,Graduate,2018,Male,3/11/2000,Computer Literacy,CMP LIT,99,C-,75.0,2.0,D,68.0,1.0,2015-2016
165,10135,Graduate,2018,Female,6/20/2000,Computer Literacy,CMP LIT,99,B,85.0,3.0,A,96.0,4.0,2015-2016
166,10176,Graduate,2018,Female,3/5/2000,Computer Literacy,CMP LIT,99,B,85.0,3.0,C,73.0,2.0,2015-2016
167,10186,Graduate,2019,Female,8/4/2000,Computer Literacy,CMP LIT,99,A-,96.0,4.0,A,97.0,4.0,2015-2016
168,10174,Graduate,2018,Female,12/6/1999,Computer Literacy,CMP LIT,99,B,85.0,3.0,C,77.0,2.0,2015-2016
169,10185,Graduate,2019,Female,11/9/2000,Computer Literacy,CMP LIT,99,A,96.0,4.0,A,97.0,4.0,2015-2016
170,10193,Graduate,2019,Male,9/8/2000,Computer Literacy,CMP LIT,99,A-,96.0,4.0,A,92.0,4.0,2015-2016
171,10133,Graduate,2019,Male,5/1/2000,Computer Literacy,CMP LIT,99,A-,96.0,4.0,A,95.0,4.0,2015-2016
172,10137,Withdrawn,2018,Male,10/10/1999,Computer Literacy,CMP LIT,99,A,96.0,4.0,B,81.0,3.0,2015-2016
173,10188,Graduate,2019,Female,7/16/2000,Computer Literacy,CMP LIT,99,A-,96.0,4.0,B,81.0,3.0,2015-2016
174,10116,Withdrawn,2019,Male,12/5/2000,Computer Literacy,CMP LIT,99,B+,85.0,3.0,C,70.0,2.0,2015-2016
175,10106,Graduate,2019,Male,7/11/2001,Computer Literacy,CMP LIT,99,B+,85.0,3.0,C,71.0,2.0,2015-2016
176,10175,Graduate,2016,Male,8/7/1997,Computer Literacy,CMP LIT,99,C+,75.0,2.0,,,,2015-2016
177,10170,Graduate,2018,Male,2/28/2000,Biology,BIO,44,C,75.0,2.0,C-,65.55,2.0,2015-2016
178,10124,Graduate,2018,Male,3/18/2001,Biology,BIO,44,A,96.0,4.0,A-,92.5,4.0,2015-2016
179,10149,Graduate,2018,Female,6/26/2000,Biology,BIO,44,B,85.0,3.0,B-,82.55,3.0,2015-2016
180,10145,Graduate,2016,Male,6/23/1998,Chemistry,CHEM,44,C+,75.0,2.0,B,83.0,3.0,2015-2016
181,10168,Graduate,2018,Male,6/7/2000,Biology,BIO,44,A,96.0,4.0,A-,92.65,4.0,2015-2016
182,10199,Withdrawn,2018,Female,2/18/2000,Chemistry,CHEM,44,F,25.0,0.0,,,,2015-2016
183,10125,Graduate,2018,Female,10/19/1999,Biology,BIO,44,C,75.0,2.0,C+,78.6,2.0,2015-2016
184,10131,Graduate,2017,Male,12/10/1998,Chemistry,CHEM,44,B+,85.0,3.0,B,86.0,3.0,2015-2016
185,10151,Graduate,2017,Male,5/8/1999,Chemistry,CHEM,44,D-,60.0,1.0,D,60.0,1.0,2015-2016
186,10166,Withdrawn,2018,Female,9/29/1999,Biology,BIO,44,A,96.0,4.0,A,100.0,4.0,2015-2016
187,10134,Graduate,2017,Male,5/18/1999,Chemistry,CHEM,44,D,60.0,1.0,,,,2015-2016
188,10163,Withdrawn,2018,Male,5/19/1999,Biology,BIO,44,F,25.0,0.0,F,49.3,0.0,2015-2016
189,10178,Graduate,2018,Male,3/11/2000,Biology,BIO,44,F,25.0,0.0,D-,50.55,1.0,2015-2016
190,10135,Graduate,2018,Female,6/20/2000,Biology,BIO,44,D,60.0,1.0,C,69.75,2.0,2015-2016
191,10135,Graduate,2018,Female,6/20/2000,Photography,PHOTO,44,C,75.0,2.0,,,,2015-2016
192,10186,Graduate,2019,Female,8/4/2000,Photography,PHOTO,44,B,85.0,3.0,,,,2015-2016
193,10201,Withdrawn,2018,Female,10/8/2000,Biology,BIO,44,D,60.0,1.0,C-,67.4,2.0,2015-2016
194,10160,Graduate,2018,Male,4/13/2000,Biology,BIO,44,A,96.0,4.0,A,95.35,4.0,2015-2016
195,10174,Graduate,2018,Female,12/6/1999,Biology,BIO,44,C,75.0,2.0,D,59.9,1.0,2015-2016
196,10112,Graduate,2018,Female,2/3/1999,Biology,BIO,44,A,96.0,4.0,A-,91.9,4.0,2015-2016
197,10102,Graduate,2018,Male,8/13/2000,Biology,BIO,44,C,75.0,2.0,B,84.35,3.0,2015-2016
198,10162,Graduate,2018,Female,7/9/2000,Biology,BIO,44,A,96.0,4.0,A,100.0,4.0,2015-2016
199,10158,Graduate,2018,Male,4/19/2000,Biology,BIO,44,A,96.0,4.0,A,100.0,4.0,2015-2016
200,10161,Withdrawn,2018,Male,11/30/1999,Biology,BIO,44,D-,60.0,1.0,F,44.55,0.0,2015-2016
201,10190,Withdrawn,2018,Female,12/30/1999,Biology,BIO,44,F,25.0,0.0,F,33.85,0.0,2015-2016
202,10137,Withdrawn,2018,Male,10/10/1999,Biology,BIO,44,B,85.0,3.0,C,73.55,2.0,2015-2016
203,10159,Graduate,2018,Male,12/16/1999,Biology,BIO,44,C+,75.0,2.0,C,74.95,2.0,2015-2016
204,10141,Graduate,2016,Male,11/29/1997,Physics,PHYSICS,12,B+,85.0,3.0,B-,80.0,3.0,2015-2016
205,10141,Graduate,2016,Male,11/29/1997,Pre-Calculus,PRECAL,12,B,85.0,3.0,B,85.0,3.0,2015-2016
206,10181,Graduate,2019,Male,4/4/2001,Physical Science,PHY SCI,12,B-,85.0,3.0,B,84.0,3.0,2015-2016
207,10114,Withdrawn,2019,Female,1/29/2001,Physical Science,PHY SCI,12,B+,85.0,3.0,A,94.0,4.0,2015-2016
208,10145,Graduate,2016,Male,6/23/1998,Physics,PHYSICS,12,C+,75.0,2.0,B,85.0,3.0,2015-2016
209,10146,Graduate,2019,Male,12/19/1999,Physical Science,PHY SCI,12,C-,75.0,2.0,D,66.0,1.0,2015-2016
210,10173,Withdrawn,2018,Female,3/7/2000,Algebra II,ALG ll,12,B-,85.0,3.0,C+,78.0,2.0,2015-2016
211,10182,Graduate,2019,Male,2/14/2001,Physical Science,PHY SCI,12,A-,96.0,4.0,A-,91.0,4.0,2015-2016
212,10142,Graduate,2016,Male,2/18/1997,Physics,PHYSICS,12,B,85.0,3.0,B,84.0,3.0,2015-2016
213,10183,Graduate,2019,Male,7/15/2001,Physical Science,PHY SCI,12,D,60.0,1.0,D,66.0,1.0,2015-2016
214,10180,Withdrawn,2017,Male,7/8/1999,Algebra II,ALG ll,12,F,25.0,0.0,F,4.0,0.0,2015-2016
215,10199,Withdrawn,2018,Female,2/18/2000,Algebra II,ALG ll,12,D,60.0,1.0,D+,68.0,1.0,2015-2016
216,10192,Withdrawn,2019,Female,3/25/2001,Physical Science,PHY SCI,12,B-,85.0,3.0,B,85.0,3.0,2015-2016
217,10154,Graduate,2017,Male,11/13/1998,Algebra II,ALG ll,12,C,75.0,2.0,C-,70.0,2.0,2015-2016
218,10127,Graduate,2019,Female,7/26/2001,Physical Science,PHY SCI,12,A-,96.0,4.0,A,93.0,4.0,2015-2016
219,10120,Graduate,2019,Female,11/20/2000,Physical Science,PHY SCI,12,A,96.0,4.0,A,97.0,4.0,2015-2016
220,10131,Graduate,2017,Male,12/10/1998,Algebra II,ALG ll,12,B+,85.0,3.0,B+,87.0,3.0,2015-2016
221,10151,Graduate,2017,Male,5/8/1999,Algebra II,ALG ll,12,C-,75.0,2.0,C,76.0,2.0,2015-2016
222,10148,Graduate,2016,Female,4/26/1998,Physics,PHYSICS,12,A,96.0,4.0,B+,89.0,3.0,2015-2016
223,10134,Graduate,2017,Male,5/18/1999,Algebra II,ALG ll,12,B-,85.0,3.0,C,73.0,2.0,2015-2016
224,10157,Graduate,2018,Female,12/14/1998,Physical Science,PHY SCI,12,B,85.0,3.0,A-,91.0,4.0,2015-2016
225,10164,Graduate,2019,Female,3/5/2001,Physical Science,PHY SCI,12,A-,96.0,4.0,A,95.0,4.0,2015-2016
226,10138,Graduate,2016,Female,9/17/1997,Pre-Calculus,PRECAL,12,C,75.0,2.0,D,66.0,1.0,2015-2016
228,10184,Graduate,2019,Female,10/20/2000,Physical Science,PHY SCI,12,C,75.0,2.0,C,76.0,2.0,2015-2016
